model,mae,mse,rmse,r2,best_cv_mae,best_parameters,fit_seconds_including_search,test_prediction_seconds,artifact
KNN,0.0538859647195401,0.006038378144732156,0.07770700190286688,0.7661660492330056,0.048160495629532604,"{'model__n_neighbors': 11, 'model__p': 2, 'model__weights': 'distance'}",3.7898255,0.0032458000000001874,models\knn_regressor_personal.joblib
SVR,0.04933443284481645,0.005412156772074778,0.0735673621388913,0.7904162392862653,0.04792845519671106,"{'model__C': 1, 'model__epsilon': 0.03, 'model__gamma': 0.1}",0.3098681000000001,0.004054499999999628,models\svr_regressor_personal.joblib
